lat,Water,Evergreen_Needleleaf_forest,Evergreen_Broadleaf_forest,Deciduous_Needleleaf_forest,Deciduous_Broadleaf_forest,Mixed_forest,Closed_shrublands,Open_shrublands,Woody_savannas,Savannas,Grasslands,Permanent_wetlands,Croplands,Urban_and_built-up,Cropland/Natural_vegetation_mosaic,Snow_and_ice,Barren_or_sparsely_vegetated
-8.2500000e+01,1.3209820e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.6790180e-01,0.0000000e+00,
-6.7500000e+01,6.5102355e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.9650003e-04,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,3.4837995e-01,0.0000000e+00,
-5.2500000e+01,5.5643282e-01,1.1261361e-03,0.0000000e+00,8.0397603e-04,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.2250260e-01,3.2034656e-02,1.9925429e-03,7.2248102e-02,6.3425121e-04,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.1211753e-01,1.0738669e-04,
-3.7500000e+01,4.0593757e-01,8.7499214e-02,0.0000000e+00,4.3500085e-02,0.0000000e+00,1.4271012e-01,0.0000000e+00,1.1831820e-01,3.9686000e-02,2.1731980e-03,5.0826261e-02,1.4770973e-02,5.6840054e-02,2.9259848e-04,2.5127316e-02,1.2276491e-02,4.1919424e-05,
-2.2500000e+01,5.2945299e-01,1.3796680e-02,0.0000000e+00,0.0000000e+00,1.1548335e-02,6.0244175e-02,0.0000000e+00,1.9428534e-02,6.7271585e-03,9.5151165e-04,1.7205079e-01,0.0000000e+00,9.0567296e-02,6.9901067e-04,2.7830479e-02,1.0081367e-03,6.5694902e-02,
-7.5000000e+00,6.1180420e-01,2.7482546e-04,1.2754230e-02,0.0000000e+00,1.3884385e-04,3.3448102e-02,1.3655708e-04,3.7096227e-02,2.5842847e-02,0.0000000e+00,3.8987641e-02,5.5709598e-04,4.9473591e-02,4.6109170e-04,5.4395544e-03,6.8936127e-04,1.8289583e-01,
7.5000000e+00,7.5027970e-01,0.0000000e+00,3.3354922e-02,0.0000000e+00,9.3657622e-05,1.8725463e-04,2.2713262e-04,8.8800505e-03,3.1306310e-02,2.7047819e-02,2.5340508e-02,3.2109026e-04,1.6233905e-02,0.0000000e+00,4.1317700e-02,0.0000000e+00,6.5409948e-02,
2.2500000e+01,7.7884947e-01,0.0000000e+00,1.4034067e-01,0.0000000e+00,4.8246329e-05,0.0000000e+00,3.3856310e-04,7.4748385e-03,2.4011556e-02,2.7403510e-02,9.7099179e-03,5.0538935e-04,6.1042507e-04,4.5071427e-05,1.0160160e-02,0.0000000e+00,5.0218256e-04,
3.7500000e+01,7.7629069e-01,0.0000000e+00,2.1017223e-02,0.0000000e+00,6.8914815e-03,0.0000000e+00,0.0000000e+00,4.9954749e-02,3.2263733e-02,9.0249804e-02,1.2154132e-02,7.0621323e-04,2.1267667e-03,4.2974024e-05,2.1044125e-03,0.0000000e+00,6.1978181e-03,
5.2500000e+01,8.4904027e-01,0.0000000e+00,8.5209027e-03,0.0000000e+00,2.8969342e-03,7.1717220e-04,5.2739874e-05,7.8909107e-02,9.6659338e-03,2.1324255e-03,2.0051413e-02,7.7642431e-04,1.9381918e-02,1.4665588e-04,1.2329217e-03,0.0000000e+00,6.4751841e-03,
6.7500000e+01,9.7423912e-01,8.1982224e-05,2.3164918e-03,0.0000000e+00,0.0000000e+00,4.2660474e-03,0.0000000e+00,1.2027695e-02,2.3619068e-04,0.0000000e+00,6.2075434e-03,0.0000000e+00,5.7424963e-05,0.0000000e+00,0.0000000e+00,5.6750988e-04,0.0000000e+00,
8.2500000e+01,9.8283535e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,9.0562809e-05,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.7074088e-02,0.0000000e+00,